Time,No. Steps,Total Reward,Episode Length,
0.14142107963562012,72682,1366.500000000031,1003
0.022539854049682617,75010,1396.1000000000013,188
0.14089536666870117,80107,1364.500000000031,1003
0.18526959419250488,85308,1231.500000000031,1003
0.1291208267211914,88786,1570.4000000000074,354
0.0673074722290039,93335,1231.500000000031,1003
0.14327096939086914,98862,1675.000000000031,1003
0.27789902687072754,101572,1556.100000000003,237
0.14260530471801758,103690,1398.300000000001,183
0.528594970703125,106187,1563.200000000002,208
0.46700286865234375,109380,1563.1000000000022,211
0.13678669929504395,111706,1555.200000000002,210
0.008472442626953125,113943,1396.9000000000015,193
0.0190732479095459,116144,1397.2000000000012,185
0.10033798217773438,118512,1397.300000000001,183
0.0699465274810791,120930,1397.300000000001,183
0.013469219207763672,123201,1558.6000000000017,201
0.07323217391967773,125418,1397.300000000001,183
0.11530208587646484,130528,1320.500000000031,1003
0.13641667366027832,135612,1320.500000000031,1003
0.20668292045593262,138356,1623.2000000000025,222
0.07403278350830078,143384,1665.000000000031,1003
0.16589140892028809,149080,1675.000000000031,1003
0.08615279197692871,154721,1642.000000000031,1003
0.0171358585357666,157198,1558.5000000000018,202
0.039685726165771484,159465,1558.5000000000018,202
0.025877952575683594,161762,1561.200000000002,210
0.0074002742767333984,163933,1396.0000000000014,191
0.026783466339111328,166093,1396.2000000000012,184
0.017380475997924805,168376,1561.5000000000018,203
0.017526865005493164,170675,1561.5000000000018,203
0.07119107246398926,175527,1670.000000000031,1003
0.1465768814086914,181266,1698.000000000031,1003
0.16155314445495605,183813,1559.400000000002,205
0.22413015365600586,186652,1559.400000000002,205
0.21922874450683594,189134,1559.400000000002,205
0.09460115432739258,194465,1594.000000000031,1003
0.10132336616516113,199845,1687.000000000031,1003
0.23395562171936035,202787,1395.2000000000012,185
0.1374197006225586,205043,1398.2000000000012,185
0.11499691009521484,207909,1560.1000000000035,250
0.14098167419433594,210396,1560.1000000000035,250
0.1926722526550293,212835,1560.1000000000035,250
0.2303483486175537,215208,1562.700000000002,210
0.16469645500183105,220145,1690.000000000031,1003
0.01744699478149414,223206,1561.200000000002,210
0.07831168174743652,225765,1554.9000000000024,216
0.09028482437133789,230616,1778.000000000031,1003
0.16606354713439941,235536,1661.000000000031,1003
0.4123570919036865,238206,1567.100000000003,237
0.2785365581512451,240971,1558.7000000000048,285
0.20908069610595703,244044,1558.7000000000048,285
0.15331411361694336,246939,1552.100000000003,237
0.18868613243103027,251823,1673.000000000031,1003
0.09352707862854004,256355,1532.500000000031,1003
0.1480238437652588,258596,1553.6000000000017,200
0.13081765174865723,261011,1553.6000000000017,200
0.15132784843444824,266259,1320.500000000031,1003
0.11187958717346191,268699,1553.6000000000017,200
0.1395554542541504,270953,1553.6000000000017,200
0.26160192489624023,273548,1555.1000000000022,212
0.07180929183959961,278373,1792.000000000031,1003
0.12101364135742188,283856,1688.000000000031,1003
0.13780570030212402,288494,1642.000000000031,1003
0.13391923904418945,293333,1783.000000000031,1003
0.07254290580749512,297789,1675.000000000031,1003
0.41022682189941406,300147,1554.200000000002,209
0.16301226615905762,303625,1912.500000000005,307
0.19459915161132812,309037,1649.000000000031,1003
0.011026382446289062,312089,1921.0000000000045,296
0.0067882537841796875,315564,1918.500000000005,307
0.11290574073791504,317872,1549.5000000000018,202
0.14260458946228027,320195,1549.5000000000018,202
0.006137847900390625,322469,1554.5000000000018,203
0.01818251609802246,325338,1553.400000000002,205
0.37837982177734375,327744,1554.200000000002,209
0.13756752014160156,332313,1659.000000000031,1003
0.2033693790435791,337347,1655.000000000031,1003
0.32287073135375977,340718,1921.400000000006,334
0.017461776733398438,343433,1563.6000000000017,201
0.07256793975830078,345690,1562.5000000000018,202
0.07013368606567383,347967,1562.5000000000018,202
0.16728687286376953,350650,1922.3000000000034,262
0.5176281929016113,353392,1569.200000000002,210
0.40642356872558594,356522,1575.1000000000072,349
0.1486363410949707,361518,1679.000000000031,1003
0.0991971492767334,365883,1685.000000000031,1003
0.01798391342163086,368782,1924.2000000000053,315
0.16774225234985352,371756,1904.800000000003,250
0.06948184967041016,374938,1546.4000000000078,366
0.14916300773620605,377212,1553.6000000000017,200
0.09762787818908691,382061,1762.000000000031,1003
0.47505974769592285,384660,1897.9000000000028,247
0.5246460437774658,387224,1897.9000000000028,247
0.503960371017456,389853,1897.9000000000028,247
0.28235578536987305,392129,1579.400000000002,205
0.14591741561889648,396209,1902.6000000000095,430
0.10198187828063965,401457,1320.500000000031,1003
0.5066604614257812,404152,1934.700000000004,277
0.350445032119751,406461,1578.300000000002,206
0.31522679328918457,408763,1579.400000000002,205
0.015567302703857422,411378,1914.700000000003,253
0.10808610916137695,416492,1643.000000000031,1003
0.7437930107116699,419651,1911.600000000003,253
0.07450413703918457,424463,1677.000000000031,1003
0.4591813087463379,426747,1566.5000000000018,202
0.5165574550628662,429021,1566.5000000000018,202
0.49092936515808105,431687,1566.5000000000018,202
0.010716915130615234,434409,1919.1000000000035,267
0.017246007919311523,437072,1919.1000000000035,267
0.47429370880126953,439835,1910.700000000003,250
0.5608441829681396,442512,1566.5000000000018,202
0.489429235458374,445132,1910.700000000003,250
0.09969234466552734,449820,1686.000000000031,1003
0.16460871696472168,455507,1675.000000000031,1003
0.1468055248260498,460999,1642.000000000031,1003
0.37590503692626953,463606,1897.9000000000028,247
0.09610223770141602,468878,1686.000000000031,1003
0.07849669456481934,474043,1648.000000000031,1003
0.08792281150817871,479481,1677.000000000031,1003
0.5218937397003174,482103,1901.5000000000032,256
0.11196351051330566,487271,1767.000000000031,1003
0.11226701736450195,491529,1681.000000000031,1003
0.09679818153381348,495787,1681.000000000031,1003
0.01958441734313965,498109,1618.2000000000025,222
0.023606061935424805,500438,1618.2000000000025,222
0.0896761417388916,504684,1681.000000000031,1003
0.4683377742767334,507340,1911.600000000003,253
0.5694403648376465,510146,1911.600000000003,253
0.5243489742279053,512751,1911.600000000003,253
0.5369069576263428,515365,1911.600000000003,253
0.2554640769958496,517658,1563.5000000000018,202
0.1567230224609375,522774,1677.000000000031,1003
0.2063131332397461,525403,1553.6000000000017,200
0.49970173835754395,528341,1911.600000000003,253
0.23317241668701172,530814,1903.800000000003,250
0.4842793941497803,533317,1911.600000000003,253
0.1459352970123291,538186,1681.000000000031,1003
0.14425349235534668,541119,1554.5000000000018,201
0.15505671501159668,543581,1554.5000000000018,201
0.5698850154876709,546410,1914.500000000004,281
0.6614971160888672,549319,1911.600000000003,253
0.48570728302001953,551866,1914.100000000003,253
0.6807873249053955,554458,1914.100000000003,253
0.5329902172088623,557043,1914.100000000003,253
0.5110652446746826,560034,1904.8000000000047,300
0.17241811752319336,562188,1553.6000000000017,200
0.12342262268066406,567025,1673.000000000031,1003
0.3515284061431885,569969,1907.1000000000054,317
0.012729167938232422,573175,1911.2000000000035,266
0.1277468204498291,578549,1679.500000000031,1003
0.1270461082458496,583891,1679.500000000031,1003
0.5726597309112549,586984,1897.800000000003,248
0.5414993762969971,589615,1897.9000000000028,247
0.4976956844329834,592596,1897.9000000000028,247
0.4974822998046875,595165,1897.9000000000028,247
0.4119441509246826,597858,1904.8000000000038,274
0.016401052474975586,600511,1904.9000000000037,273
0.11124181747436523,605731,1673.000000000031,1003
0.6425063610076904,608419,1897.800000000003,248
0.5885860919952393,610972,1900.300000000003,248
0.47347021102905273,613500,1900.300000000003,248
0.6305451393127441,616185,1909.200000000004,277
0.5305120944976807,618870,1909.200000000004,277
0.017765522003173828,621577,1908.9000000000042,285
0.016823291778564453,624324,1908.6000000000045,293
0.013114213943481445,628024,1897.9000000000142,560
0.4688756465911865,630570,1900.300000000003,248
0.47835278511047363,633113,1900.300000000003,248
0.44971728324890137,635744,1900.300000000003,248
0.5674712657928467,638266,1900.300000000003,248
0.5674583911895752,640830,1900.300000000003,248
0.4600205421447754,643346,1900.300000000003,248
0.5639798641204834,645911,1900.300000000003,248
0.5497524738311768,648485,1900.300000000003,248
0.44214534759521484,651234,1897.800000000003,248
0.5243866443634033,654129,1897.800000000003,248
0.5976037979125977,656680,1897.800000000003,248
0.5417308807373047,659308,1897.800000000003,248
0.5902347564697266,661944,1900.300000000003,248
0.4754495620727539,664550,1900.300000000003,248
0.4394562244415283,667103,1900.300000000003,248
0.4915897846221924,669641,1900.300000000003,248
0.5487186908721924,672124,1900.300000000003,248
0.32047009468078613,674287,1566.0000000000018,202
0.4523911476135254,676782,1900.300000000003,248
0.4933443069458008,679298,1900.300000000003,248
0.4914991855621338,681902,1900.300000000003,248
0.15869450569152832,686955,1675.500000000031,1003
0.5392637252807617,689907,1900.300000000003,248
0.41144704818725586,692414,1900.300000000003,248
0.46028566360473633,694955,1900.300000000003,248
0.4752962589263916,697547,1900.300000000003,248
0.4720325469970703,700105,1900.300000000003,248
0.40926647186279297,702634,1900.300000000003,248
0.5806851387023926,705269,1900.300000000003,248
0.545846700668335,707901,1905.200000000003,252
0.16504693031311035,710525,1905.200000000003,251
0.12764477729797363,713043,1905.200000000003,251
0.4820384979248047,715564,1900.300000000003,248
0.523557186126709,718130,1900.300000000003,248
0.5832343101501465,720676,1900.300000000003,248
0.548478364944458,723254,1900.300000000003,248
0.5525596141815186,725847,1900.300000000003,248
0.578711986541748,728531,1900.300000000003,248
0.46407127380371094,731153,1900.300000000003,248
0.6960711479187012,733701,1900.300000000003,248
0.4838426113128662,736284,1900.300000000003,248
0.42430591583251953,738830,1900.300000000003,248
0.4199812412261963,741397,1900.300000000003,248
0.509162187576294,743973,1900.300000000003,248
0.5492913722991943,746619,1900.300000000003,248
0.5604531764984131,749217,1900.300000000003,248
0.5021171569824219,751777,1900.300000000003,248
0.3833651542663574,754341,1900.300000000003,248
0.6127047538757324,756940,1900.300000000003,248
0.4806063175201416,759517,1907.200000000003,252
0.5319006443023682,762364,1905.200000000003,252
0.49254822731018066,765195,1905.200000000003,252
0.12148165702819824,767741,1895.800000000003,249
0.1861875057220459,770481,1895.800000000003,249
0.2291104793548584,773111,1895.800000000003,249
0.19433021545410156,775692,1895.800000000003,249
0.1453864574432373,778326,1895.800000000003,249
0.22618579864501953,780909,1895.800000000003,249
0.24116063117980957,783477,1895.800000000003,249
0.15851569175720215,786089,1895.800000000003,249
0.17025351524353027,788653,1895.800000000003,249
0.172440767288208,791282,1895.800000000003,249
0.16738224029541016,793898,1895.800000000003,249
0.1631758213043213,796522,1895.800000000003,249
0.14919614791870117,799117,1895.800000000003,249
0.18054485321044922,801717,1895.800000000003,249
0.14566802978515625,804273,1895.800000000003,249
0.16935253143310547,806847,1895.800000000003,249
0.14658737182617188,809395,1895.800000000003,249
0.15234756469726562,812001,1895.800000000003,249
0.15395689010620117,814589,1895.800000000003,249
0.1567974090576172,817124,1895.800000000003,249
0.13733649253845215,819755,1895.800000000003,249
0.14853549003601074,822347,1895.800000000003,249
0.15898823738098145,824876,1895.800000000003,249
0.1456148624420166,827483,1895.800000000003,249
0.19345784187316895,830074,1895.800000000003,249
0.19198155403137207,832731,1895.800000000003,249
0.1777501106262207,835262,1895.800000000003,249
0.16666173934936523,837815,1895.800000000003,249
0.15906763076782227,840454,1895.800000000003,249
0.2713766098022461,843069,1895.800000000003,249
0.11560249328613281,845620,1895.800000000003,249
0.16171884536743164,848158,1895.800000000003,249
0.17043042182922363,850714,1895.800000000003,249
0.1698000431060791,853256,1895.800000000003,249
0.17362284660339355,855809,1895.800000000003,249
0.21121788024902344,858343,1895.800000000003,249
0.16815185546875,860933,1895.800000000003,249
0.554114818572998,863519,1900.300000000003,248
0.39467525482177734,866141,1900.300000000003,248
0.5699577331542969,868686,1900.300000000003,248
0.3872835636138916,871196,1900.300000000003,248
0.5522310733795166,873811,1900.300000000003,248
0.49419522285461426,876374,1900.300000000003,248
0.49897122383117676,878945,1900.300000000003,248
0.5311110019683838,881486,1900.300000000003,248
0.47050023078918457,884083,1900.300000000003,248
0.6470179557800293,886692,1900.300000000003,248
0.49872565269470215,889321,1900.300000000003,248
0.5360345840454102,891826,1900.300000000003,248
0.4449441432952881,894412,1900.300000000003,248
0.4859457015991211,896948,1900.300000000003,248
0.38260388374328613,899483,1900.300000000003,248
0.5269849300384521,902045,1900.300000000003,248
0.5199830532073975,904579,1900.300000000003,248
0.40462160110473633,907166,1900.300000000003,248
0.4589731693267822,909649,1900.300000000003,248
0.4205021858215332,912202,1900.300000000003,248
0.4759032726287842,914755,1900.300000000003,248
0.5309090614318848,917283,1900.300000000003,248
0.4948880672454834,919835,1900.300000000003,248
0.5119781494140625,922339,1900.300000000003,248
0.6040825843811035,924861,1900.300000000003,248
0.6071672439575195,927369,1900.300000000003,248
0.44272589683532715,929959,1900.300000000003,248
0.5901546478271484,932575,1900.300000000003,248
0.4824855327606201,935130,1900.300000000003,248
0.5101723670959473,937687,1900.300000000003,248
0.49259233474731445,940164,1900.300000000003,248
0.48877406120300293,942783,1900.300000000003,248
0.4612901210784912,945316,1900.300000000003,248
0.5743205547332764,947903,1900.300000000003,248
0.47757887840270996,950442,1900.300000000003,248
0.5118381977081299,953016,1900.300000000003,248
0.4678170680999756,955605,1900.300000000003,248
